"33b91c8","Theassa","Fri, 24 May 2024 10:20:40 +1000","comments and put sidenav button right under header","",		 1 file changed, 3 insertions(+), 2 deletions(-)
"c35aa5f","Theassa","Fri, 24 May 2024 10:13:59 +1000","fix bug","",		 2 files changed, 6 insertions(+), 4 deletions(-)
"94e007b","Theassa","Fri, 24 May 2024 09:56:19 +1000","add use media","",		 36 files changed, 0 insertions(+), 0 deletions(-)
"08b2f98","Theassa","Fri, 24 May 2024 09:55:55 +1000","add comments","",		 14 files changed, 213 insertions(+), 78 deletions(-)
"177254f","Theassa","Wed, 22 May 2024 14:25:56 +1000","fix typo","",		 2 files changed, 4 insertions(+), 4 deletions(-)
"af419a5","Theassa","Wed, 22 May 2024 14:24:15 +1000","fix of typo","",		 1 file changed, 2 insertions(+), 2 deletions(-)
"bdd87fa","Theassa","Wed, 22 May 2024 14:15:59 +1000","small css stylings","",		 4 files changed, 5 insertions(+), 5 deletions(-)
"07d184b","Theassa","Wed, 22 May 2024 13:58:05 +1000","change css back","",		 2 files changed, 2 insertions(+), 2 deletions(-)
"2ebb852","Theassa","Wed, 22 May 2024 13:56:50 +1000","remove padding from top of sidenav","",		 1 file changed, 1 deletion(-)
"8efc89b","Theassa","Wed, 22 May 2024 13:55:58 +1000","fix css","",		 2 files changed, 5 insertions(+), 5 deletions(-)
"05b3a0b","Theassa","Wed, 22 May 2024 13:51:47 +1000","delete unused css","",		 1 file changed, 4 deletions(-)
"786c085","Theassa","Wed, 22 May 2024 13:42:00 +1000","bug fix","",		 4 files changed, 5 insertions(+), 6 deletions(-)
"b8f3fb3","Theassa","Wed, 22 May 2024 13:24:19 +1000","fix size element","",		 2 files changed, 17 insertions(+), 16 deletions(-)
"cfb7c39","Theassa","Wed, 22 May 2024 11:37:14 +1000","remove unused imaged","",		 36 files changed, 0 insertions(+), 0 deletions(-)
"4203986","Theassa","Wed, 22 May 2024 11:32:56 +1000","add dropdown to add product","",		 2 files changed, 17 insertions(+), 5 deletions(-)
"0fd17c3","Theassa","Wed, 22 May 2024 11:28:08 +1000","add aria labels","",		 13 files changed, 315 insertions(+), 254 deletions(-)
"a6fc7f0","Theassa","Wed, 22 May 2024 11:27:32 +1000","edit space between product","",		 1 file changed, 1 deletion(-)
"f6713cb","Theassa","Wed, 22 May 2024 11:27:22 +1000","organize code","",		 1 file changed, 15 insertions(+), 5 deletions(-)
"c11c7f9","Theassa","Wed, 22 May 2024 11:15:44 +1000","add error text colour","",		 1 file changed, 1 insertion(+)
"137b4fc","Theassa","Wed, 22 May 2024 11:15:14 +1000","add other as size option","",		 1 file changed, 5 insertions(+)
"c08dcee","Theassa","Wed, 22 May 2024 11:15:03 +1000","fix bugs and make error feedback to user","",		 3 files changed, 160 insertions(+), 117 deletions(-)
"6c63bfa","Theassa","Tue, 21 May 2024 11:29:02 +1000","fix font","",		 17 files changed, 119 insertions(+), 20 deletions(-)
"b499c5a","Theassa","Tue, 21 May 2024 11:00:55 +1000","edit all dropdownbtn to be the same","",		 4 files changed, 13 insertions(+), 24 deletions(-)
"2519ee2","Theassa","Tue, 21 May 2024 10:15:15 +1000","add header and sidenav to the rest of the pages","",		 14 files changed, 639 insertions(+), 492 deletions(-)
"d2b09e3","Theassa","Tue, 21 May 2024 09:41:48 +1000","place header and sidenav in its own files and remove i frame","",		 8 files changed, 336 insertions(+), 311 deletions(-)
"46b4ca2","Theassa","Mon, 20 May 2024 19:20:51 +1000","add category title","",		 1 file changed, 7 insertions(+), 1 deletion(-)
"0f08312","Theassa","Mon, 20 May 2024 19:20:41 +1000","made category title bold","",		 4 files changed, 12 insertions(+), 12 deletions(-)
"25fc7aa","Theassa","Mon, 20 May 2024 19:20:20 +1000","use variables from index css","",		 2 files changed, 12 insertions(+), 20 deletions(-)
"9f344b6","Theassa","Mon, 20 May 2024 17:21:46 +1000","add get api to the rest of the product pages","",		 4 files changed, 83 insertions(+), 402 deletions(-)
